Model,length,Query Length,Hardware,Host,PUE,WUE (Site),WUE (Source),Size,Mean Max Energy (Wh),Mean Min Energy (Wh),Mean Max Carbon (gCO2e),Mean Min Carbon (gCO2e),"Mean Max Water (Site, mL)","Mean Min Water (Site, mL)","Mean Max Water (Source, mL)","Mean Min Water (Source, mL)",Energy Consumption of 1 Billion Prompts (MWh),Carbon Emissions of 1 Billion Prompts (TonsCO2e),Water Consumption of 1 Billion Prompts (Kiloliter),Household Energy Equiv. – 1B Prompts (MWh),People Annual Drinking Water Equiv. – 1B Prompts (kL),Gasoline Car Equiv. – 1B Prompts (TonsCO2e),Atlantic Flight Equiv. – 1B Prompts (TonsCO2e)
GPT-4.1 nano,Long,1500,DGX H200/H100,Azure,1.12,0.3,4.35,Small,0.7257553197169127,0.573536975506624,0.2467568087037503,0.1950025716722521,0.1943987463527444,0.1536259755821314,3.15703564076857,2.494885843453814,649.6461476117682,220.87969018800123,2999.9731030786293,593.284153070108,2499.977585898858,48.01732395391331,0.4382533535476215
Llama 3.1 70B Standard,Long,1500,DGX H200/H100,AWS,1.14,0.18,5.12,Medium,18.869840144812727,14.86461823157389,5.660952043443817,4.459385469472167,2.979448443917799,2.34704498393272,96.61358154144118,76.10684534565833,16867.229188193312,5060.168756457993,89023.460157475,15403.86227232266,74186.21679789583,1100.0366861865205,10.04001737392459
Llama 3.1 70B Latency Optimized,Long,1500,DGX H200/H100,AWS,1.14,0.18,5.12,Medium,1.6617260549893451,1.3090160395272985,0.4985178164968036,0.3927048118581894,0.2623777981562124,0.2066867430832576,8.50803740154545,6.702162122379768,1485.3710472583218,445.6113141774965,7839.632032582342,1356.5032395053167,6533.026693818619,96.8720248211949,0.8841494328918582
Claude 3 Haiku,Long,1500,DGX H200/H100,Anthropic,1.14,0.18,5.12,Large,2.859484454885952,2.4068169510736173,0.8578453364657855,0.722045085322085,0.4514975455083082,0.3800237291168868,14.640560409016071,12.32290278949692,2633.1507029797845,789.9452108939352,13897.492236569093,2404.7038383377026,11581.243530474245,171.72721975955113,1.567351608916538
Llama 3.1 8B,Long,1500,DGX H200/H100,AWS,1.14,0.18,5.12,Micro,0.3251287286907806,0.2423837332050339,0.0975386186072341,0.0727151199615101,0.051336115056439,0.0382711157692158,1.664659090896797,1.2410047140097733,283.7562309479072,85.12686928437218,1497.6355178661129,259.1381104547098,1248.0295982217606,18.50584114877656,0.1689025184213733
Llama 3.2 11B (Vision),Long,1500,DGX H200/H100,AWS,1.14,0.18,5.12,Micro,1.210352488242575,0.9023187700932194,0.3631057464727724,0.2706956310279658,0.1911082876172487,0.1424713847515609,6.197004739801984,4.619872102877284,1056.3356291678972,316.9006887503691,5575.228257524039,964.6900722994496,4646.023547936699,68.89145407616721,0.628771207838034
Llama 3.2 1B,Long,1500,DGX H200/H100,AWS,1.14,0.18,5.12,Nano,0.5802246890855501,0.4279474326290217,0.174067406725665,0.1283842297887065,0.0916144245924552,0.0675706472572139,2.9707504081180165,2.1910908550605908,504.08606085728593,151.22581825718578,2660.5131675141383,460.3525669929552,2217.094306261782,32.87517788199691,0.3000512267007654
Llama 3.2 90B (Vision),Long,1500,DGX H200/H100,AWS,1.14,0.18,5.12,Large,6.172471934186789,5.19534563506464,1.8517415802560369,1.5586036905193918,0.9746008317137036,0.8203177318523116,31.603056303036364,26.60016965153096,5683.908784625714,1705.1726353877143,29999.07225906667,5190.784278196999,24999.22688255556,370.6897033451553,3.383279038467687
GPT-4o (May),Long,1500,DGX H200/H100,Azure,1.12,0.3,4.35,Large,4.149225489434625,3.4923869667255385,1.4107366664077725,1.1874115686866835,1.1113996846699887,0.9354607946586264,18.049130879040614,15.191883305256091,3820.806228080082,1299.074117547228,17643.937331812664,3489.320756237518,14703.281109843889,282.4074168580931,2.5775280110064047
GPT-4 Turbo,Long,1500,DGX A100,Azure,1.12,0.3,4.35,Large,18.025603083986084,15.924257733576049,6.12870504855527,5.414247629415856,4.828286540353415,4.2654261786364405,78.41137341533948,69.27052114105581,16974.930408781067,5771.476338985564,78387.80363769257,15502.219551398235,65323.169698077145,1254.668769344688,11.451341942431675
GPT-4o mini,Long,1500,DGX A100,Azure,1.12,0.3,4.35,Medium,4.330068680824229,4.012226595126341,1.472223351480238,1.364157042342956,1.1598398252207756,1.074703552265984,18.83579876158539,17.453185688799582,4171.147637975286,1418.190196911597,19261.76391393587,3809.2672492924985,16051.469928279892,308.3022167199124,2.8138694383166607
o3-mini,Long,1500,DGX H200/H100,Azure,1.12,0.3,4.35,Medium,2.005823829775918,1.5800772683073718,0.6819801021238122,0.5372262712245065,0.5372742401185494,0.4232349825823317,8.725333659525244,6.873336117137067,1792.950549041645,609.6031866741595,8279.589499681597,1637.3977616818677,6899.657916401331,132.52243188568684,1.209530132289999
o3-pro,Long,1500,DGX H200/H100,Azure,1.12,0.3,4.35,Large,35.50780571641226,29.886782055298227,12.072653943580166,10.161505898801398,9.51101938832471,8.005388050526307,154.4589548663933,130.0075019405473,32697.293885855244,11117.079921190783,150991.4321228958,29860.54236151164,125826.19343574648,2416.756504606692,22.05769825633092
Llama 3.2 3B,Long,1500,DGX H200/H100,AWS,1.14,0.18,5.12,Nano,0.9452713378557636,0.6971892954274648,0.283581401356729,0.2091567886282394,0.1492533691351205,0.1100825203306523,4.839789249821511,3.569609192588619,821.2303166416142,246.3690949924842,4334.3671659379515,749.9820243302413,3611.9726382816266,53.558498911409615,0.4888275694295321
Claude 4.1 Opus,Long,1500,DGX H200/H100,Anthropic,1.14,0.18,5.12,Large,13.736866493789636,11.562267133642017,4.121059948136891,3.468680140092605,2.168978920072048,1.825621126364529,70.33275644820294,59.198807724247125,12649.566813715828,3794.870044114748,66763.08210944333,11552.115811612628,55635.90175786945,824.9717487205975,7.52950405578323
Claude 4 Opus,Long,1500,DGX H200/H100,Anthropic,1.14,0.18,5.12,Large,10.269036302977224,8.643407941233832,3.080710890893167,2.5930223823701497,1.6214267846806143,1.3647486223000789,52.57746587124338,44.25424865911722,9456.222122105528,2836.8666366316584,49908.94496867065,8635.81928959409,41590.78747389221,616.7101383981867,5.628703644110433
Mistral Large 2 (AWS),Long,1500,DGX H200/H100,AWS,1.14,0.18,5.12,Large,11.593420551156544,9.758137015143063,3.478026165346962,2.92744110454292,1.8305400870247173,1.540758476075221,59.358313221921506,49.9616615175325,10675.778783149804,3202.7336349449415,56345.63665127697,9749.56966497699,46954.69720939748,696.2464423793351,6.35463022806536
